Country,N,Virus name,Type,Accession ID,Collection date,Location,Additional location information,Sequence length,Host,Patient age,Gender,Clade,Pango lineage,Pangolin version,Variant,AA Substitutions,Submission date,Is reference?,Is complete?,Is high coverage?,Is low coverage?,N-Content,GC-Content,Patient age lower
POL,67359,100.0,100.0,100.0,100.0,100.0,0.03711456523998278,100.0,100.0,95.55515966685967,100.0,100.0,100.0,100.0,96.23509850205615,100.0,100.0,0.0,99.63627726064817,51.797087248919965,4.620021081073056,68.91284015499042,100.0,95.85504535399872
PRT,27784,100.0,100.0,100.0,100.0,100.0,0.45349841635473653,100.0,100.0,0.3275266340339764,100.0,100.0,100.0,100.0,85.22530953066513,100.0,100.0,0.0,99.96760725597466,69.2196947883674,5.4959689029657355,59.89058450906997,100.0,0.3275266340339764
ROU,11147,100.0,100.0,100.0,100.0,100.0,0.10765228312550462,100.0,100.0,98.45698394186776,100.0,100.0,100.0,100.0,85.89755091055889,100.0,100.0,0.0,99.82955055171796,62.240961693729254,1.9646541670404594,76.46900511348345,100.0,98.47492598905535
QAT,4892,100.0,100.0,100.0,100.0,100.0,13.246116107931316,100.0,100.0,97.79231398201145,100.0,100.0,100.0,100.0,59.68928863450532,100.0,100.0,0.0,99.71381847914964,49.48896156991006,25.245298446443172,91.1283728536386,100.0,97.79231398201145
RUS,15043,100.0,100.0,100.0,100.0,100.0,0.24596157681313568,100.0,100.0,77.39812537392807,100.0,100.0,100.0,100.0,54.889317290434086,100.0,100.0,0.0,95.82530080436084,52.01754969088613,18.87256531277006,70.72392474905271,100.0,77.39812537392807
SAU,1247,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,63.27185244587009,100.0,100.0,100.0,100.0,10.585404971932638,100.0,100.0,0.0,99.5990376904571,79.79149959903769,1.36327185244587,40.73777064955894,100.0,63.27185244587009
ZAF,31158,100.0,100.0,100.0,100.0,100.0,21.994351370434558,100.0,100.0,95.09596251364016,100.0,100.0,100.0,100.0,80.50259965337955,100.0,100.0,0.0,98.86064574106169,33.80191283137557,24.212080364593362,91.85120996212851,100.0,95.10880030810706
ESP,104126,100.0,100.0,100.0,100.0,100.0,10.802297216833452,100.0,100.0,89.85555961047193,99.99903962506963,99.99903962506963,99.99903962506963,100.0,80.36897604824924,100.0,100.0,0.0,99.71572902060964,62.14778249428577,6.262604920961143,70.24182240746788,100.0,89.99385360044562
TUR,85269,100.0,100.0,100.0,100.0,100.0,0.029318978761331785,100.0,100.0,0.4808312516858413,100.0,100.0,100.0,100.0,78.38253057969484,100.0,100.0,0.0,99.98709964934501,90.15585969109524,0.9417255978139769,54.1322168666221,100.0,0.4808312516858413
UKR,675,100.0,100.0,100.0,100.0,100.0,0.4444444444444444,100.0,100.0,87.4074074074074,100.0,100.0,100.0,100.0,73.03703703703704,100.0,100.0,0.0,99.25925925925925,72.0,4.0,35.851851851851855,100.0,87.4074074074074
GBR,2103100,100.0,100.0,100.0,100.0,100.0,0.00028529313870001425,100.0,100.0,0.4220911987066711,100.0,99.9740383243783,99.9740383243783,99.9740383243783,91.09961485426275,100.0,100.0,0.0,99.97170843041225,56.40830203033617,5.60463125861823,51.76682040796919,100.0,0.4220911987066711
USA,2693075,100.0,99.99929448678556,100.0,100.0,100.0,1.7706153746182338,100.0,100.0,56.49579012838484,99.96056552453979,99.9971779471422,99.9971779471422,99.99769779898443,84.94334543226609,100.0,100.0,0.0,99.50361575522405,56.36081431077857,8.947875569748335,65.63690205434308,99.99992573545111,56.832097138029944
