Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ARG,202053,30 – 40,0,0,0,0,0,5,5
ARG,202053,40 – 50,0,0,0,0,0,2,2
ARG,202053,5 – 10,0,0,0,0,0,1,1
ARG,202053,50 – 60,0,0,0,0,0,1,1
ARG,202053,60 – 70,0,0,0,0,0,3,3
ARG,202101,10 – 20,0,0,0,0,0,2,2
ARG,202101,20 – 30,0,0,0,0,0,5,5
ARG,202101,30 – 40,0,0,0,0,0,2,2
ARG,202101,40 – 50,0,0,0,0,0,7,7
ARG,202101,50 – 60,0,0,0,0,0,5,5
ARG,202101,60 – 70,0,0,0,0,0,2,2
ARG,202101,70 – 80,0,0,0,0,0,1,1
ARG,202102,20 – 30,0,0,0,0,0,3,3
ARG,202102,30 – 40,0,0,0,0,0,3,3
ARG,202102,40 – 50,0,0,0,0,0,2,2
ARG,202102,50 – 60,0,0,0,0,0,2,2
ARG,202102,60 – 70,0,0,0,0,0,1,1
ARG,202102,>= 80,0,0,0,0,0,1,1
ARG,202103,1 – 5,0,0,0,0,0,1,1
ARG,202103,10 – 20,0,0,0,0,0,2,2
ARG,202103,20 – 30,0,0,0,0,0,6,6
ARG,202103,30 – 40,0,0,0,0,0,5,5
ARG,202103,40 – 50,0,0,0,0,0,1,1
ARG,202103,50 – 60,0,0,0,0,0,5,5
ARG,202103,60 – 70,0,0,0,0,0,2,2
ARG,202104,1 – 5,0,0,0,0,0,1,1
ARG,202104,20 – 30,0,0,0,0,0,3,3
ARG,202104,30 – 40,0,0,0,0,0,2,2
ARG,202104,40 – 50,0,0,0,0,0,4,4
ARG,202104,50 – 60,0,0,0,0,0,2,2
ARG,202104,60 – 70,0,0,0,0,0,1,1
ARG,202104,70 – 80,0,0,0,0,0,1,1
ARG,202104,>= 80,0,0,0,0,0,1,1
ARG,202105,20 – 30,1,0,0,0,0,5,6
ARG,202105,30 – 40,1,0,0,0,0,8,9
ARG,202105,40 – 50,0,0,0,0,0,4,4
ARG,202105,50 – 60,0,0,0,0,0,4,4
ARG,202105,60 – 70,0,0,0,0,0,4,4
ARG,202105,70 – 80,0,0,0,0,0,1,1
ARG,202106,10 – 20,0,0,0,0,0,3,3
ARG,202106,20 – 30,0,0,0,0,0,1,1
ARG,202106,30 – 40,0,0,0,0,0,5,5
ARG,202106,40 – 50,0,0,0,0,0,1,1
ARG,202106,5 – 10,0,0,0,0,0,1,1
ARG,202106,50 – 60,0,0,0,0,0,3,3
ARG,202106,60 – 70,0,0,0,0,0,1,1
ARG,202106,70 – 80,0,0,0,0,0,2,2
ARG,202107,20 – 30,0,0,0,0,0,3,3
ARG,202107,30 – 40,0,0,0,0,0,2,2
ARG,202107,40 – 50,0,0,0,0,0,1,1
ARG,202107,5 – 10,0,0,0,0,0,1,1
ARG,202107,50 – 60,0,0,0,0,0,2,2
ARG,202107,60 – 70,0,0,0,0,0,2,2
ARG,202107,>= 80,0,0,0,0,0,1,1
ARG,202108,20 – 30,0,0,0,0,0,4,4
ARG,202108,30 – 40,0,0,0,0,0,2,2
ARG,202108,40 – 50,0,0,0,0,0,3,3
ARG,202108,50 – 60,0,0,0,0,0,1,1
ARG,202108,70 – 80,0,0,0,0,0,1,1
ARG,202109,10 – 20,1,0,0,0,0,4,5
ARG,202109,20 – 30,0,0,1,0,0,5,6
ARG,202109,30 – 40,0,0,0,0,0,5,5
ARG,202109,40 – 50,0,0,0,0,0,2,2
ARG,202109,50 – 60,2,0,0,0,0,4,6
ARG,202109,60 – 70,0,0,0,0,0,3,3
ARG,202109,70 – 80,0,0,0,0,0,1,1
ARG,202110,10 – 20,0,0,0,0,0,6,6
ARG,202110,20 – 30,1,0,0,0,0,8,9
ARG,202110,30 – 40,0,0,0,0,0,5,5
ARG,202110,40 – 50,1,0,0,0,0,6,7
ARG,202110,50 – 60,2,0,0,0,0,9,11
ARG,202110,60 – 70,0,0,0,0,0,1,1
ARG,202110,70 – 80,1,0,0,0,0,1,2
ARG,202111,10 – 20,1,0,0,0,0,3,4
ARG,202111,20 – 30,5,0,0,0,0,19,24
ARG,202111,30 – 40,1,0,0,0,0,15,16
ARG,202111,40 – 50,2,0,0,0,0,13,15
ARG,202111,5 – 10,0,0,0,0,0,1,1
ARG,202111,50 – 60,1,0,0,0,0,10,11
ARG,202111,60 – 70,1,0,0,0,0,7,8
ARG,202111,70 – 80,3,0,0,0,0,0,3
ARG,202111,>= 80,0,0,0,0,0,3,3
ARG,202112,1 – 5,0,0,0,0,0,1,1
ARG,202112,10 – 20,1,0,0,0,0,5,6
ARG,202112,20 – 30,4,0,0,0,0,10,14
ARG,202112,30 – 40,4,0,0,0,0,8,12
ARG,202112,40 – 50,2,0,0,0,0,15,17
ARG,202112,50 – 60,0,0,0,0,0,8,8
ARG,202112,60 – 70,1,0,0,0,0,7,8
ARG,202112,70 – 80,1,0,0,0,0,5,6
ARG,202112,>= 80,0,0,0,0,0,4,4
ARG,202113,10 – 20,0,0,0,0,0,3,3
ARG,202113,20 – 30,3,0,0,0,0,6,9
ARG,202113,30 – 40,4,0,0,0,0,14,18
ARG,202113,40 – 50,3,0,0,0,0,9,12
ARG,202113,50 – 60,1,0,0,0,0,11,12
ARG,202113,60 – 70,1,0,0,0,0,3,4
ARG,202113,70 – 80,0,0,0,0,0,4,4
ARG,202113,>= 80,0,0,0,0,0,1,1
ARG,202114,10 – 20,0,0,0,0,0,11,11
ARG,202114,20 – 30,2,0,0,0,0,23,25
ARG,202114,30 – 40,3,0,0,0,0,25,28
ARG,202114,40 – 50,1,0,0,0,0,18,19
ARG,202114,50 – 60,1,0,0,0,0,17,18
ARG,202114,60 – 70,1,0,0,0,0,10,11
ARG,202114,70 – 80,1,0,0,0,0,6,7
ARG,202114,>= 80,0,0,0,0,0,3,3
ARG,202115,1 – 5,0,0,0,0,0,3,3
ARG,202115,10 – 20,1,0,0,0,0,5,6
